content,author,source_book,language,tags,is_public_domain
"Podróż licząca tysiąc mil zaczyna się od jednego kroku.",Lao Tzu,Tao Te King,pl,początek|wytrwałość,tak
"Kropla drąży skałę nie siłą, lecz częstym padaniem.",Owidiusz,Ex Ponto,pl,powtarzanie|cierpliwość,tak
"Nie ma pomyślnego wiatru dla tego, kto nie wie, do którego portu płynie.",Seneka,Listy moralne do Lucyliusza,pl,cel|kierunek,tak
"Uczyć się i nie myśleć to strata czasu. Myśleć i nie uczyć się to niebezpieczeństwo.",Konfucjusz,Dialogi konfucjańskie,pl,nauka|refleksja,tak
"Cnót nabywamy przez ćwiczenie, tak samo jak sztuk: rzeźbiarzem stajemy się rzeźbiąc.",Arystoteles,Etyka nikomachejska,pl,nawyk|ćwiczenie,tak
"O świcie, gdy trudno ci wstać, powiedz sobie: budzę się, żeby wykonać pracę człowieka.",Marek Aureliusz,Rozmyślania,pl,poranek|dyscyplina,tak
"Ile jeszcze będziesz zwlekał, zanim uznasz, że zasługujesz na to, co najlepsze?",Epiktet,Encheiridion,pl,zwlekanie|decyzja,tak
"Każdy dzień jest uczniem dnia poprzedniego.",Publiliusz Syrus,Sentencje,pl,codzienność|nauka,tak
"Nie da się wejść dwa razy do tej samej rzeki.",Heraklit,Fragmenty,pl,zmiana,tak
"Wielkie rzeczy nie powstają nagle, tak jak kiść winogron albo figa nie dojrzewa w godzinę.",Epiktet,Diatryby,pl,cierpliwość|wzrost,tak
